,order_id,customer_id,product_id,quantity,price,order_date,id,name,username,email,phone,website,address.street,address.suite,address.city,address.zipcode,address.geo.lat,address.geo.lng,company.name,company.catchPhrase,company.bs,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure
0,2334,5,40,3,35.6,2022-06-21,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
1,6588,5,26,1,15.87,2022-10-23,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,
2,3569,5,47,9,19.35,2023-05-25,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
3,5200,5,50,6,82.12,2023-02-28,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
4,1589,5,10,1,96.94,2023-01-05,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
5,1131,5,28,10,87.52,2022-07-02,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
6,6998,5,23,4,84.19,2023-02-15,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
7,6946,5,47,9,53.75,2023-02-11,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
8,4683,5,33,7,58.24,2022-12-07,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
9,7968,5,47,1,21.08,2023-02-25,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
10,7506,5,22,2,61.08,2023-04-23,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
11,2335,5,34,10,54.98,2023-01-11,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
12,5870,5,41,8,29.89,2023-01-24,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
13,6105,5,47,2,44.45,2023-03-07,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
14,5862,5,14,2,29.35,2022-12-12,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
15,8426,5,35,6,33.38,2023-05-18,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
16,8879,5,23,3,14.41,2022-11-13,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
17,3214,5,34,8,17.92,2023-04-03,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
18,5215,5,10,5,64.85,2022-06-20,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
19,3602,5,26,10,50.25,2022-12-08,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
20,3738,5,21,3,44.33,2023-02-21,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
21,6518,5,10,3,84.88,2022-11-21,5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,(254)954-1289,demarco.info,Skiles Walks,Suite 351,Roscoeview,33263,-31.8129,62.5342,Keebler LLC,User-centric fault-tolerant solution,revolutionize end-to-end systems,804,Clouds,overcast clouds,04d,293.18,293.07,293.18,,1025
